accession,ticker,filed_at,composite_score,baseline_score,fold,ret_1d,ar_1d,ret_5d,ar_5d,ret_10d,ar_10d,is_ground_truth,util_model,util_base
0000320193-20-000060,AAPL,2020-07-30,24.44764436355159,11.5,Fold_2020_H1,0.10468874785304824,0.09678647824119892,0.18414073560341274,0.15213086089523392,0.19781026880089728,0.15808320912122498,False,0,-150
0001193125-20-213158,AAPL,2020-08-03,20.268437173860868,1.9,Fold_2020_H1,0.00667819168002146,0.0028156282380159547,0.036656523383029355,0.016035665961517783,0.053945127408198804,0.026207195826110783,False,0,-150
0001193125-20-225672,AAPL,2020-08-13,32.53987699003271,14.2,Fold_2020_H1,-0.0008912619432790076,-0.0009210122821539614,0.02838878371032265,0.024083987965482303,0.08694894334487518,0.05280700428237687,False,0,-150
0000320193-20-000096,AAPL,2020-09-26,17.896800569189235,32.2,Fold_2020_H1,-0.007567742709462293,-0.0021218501226274557,0.013396003093840926,-0.0032713774704342235,0.08211529581692337,0.02753543307389035,False,0,-150
0000320193-20-000094,AAPL,2020-10-29,24.243792110667002,11.4,Fold_2020_H1,-0.05601805425817567,-0.04559343825882678,0.0321715154526689,-0.029226203338006393,0.0355156663674705,-0.03488287764477788,True,0,100
0000320193-21-000010,AAPL,2020-12-26,18.1917910909223,28.4,Fold_2020_H1,-0.013314516689058779,-0.011406837906431384,-0.04155371610550559,-0.03929686279780825,-0.05772177804662342,-0.07545580315837684,True,0,100
0001193125-21-001982,AAPL,2020-12-29,20.120908650813256,1.6,Fold_2020_H1,-0.008527076142369366,-0.009953991086779707,-0.06131846046839357,-0.06694497452477753,-0.02951013983357893,-0.05193522635894467,True,0,100
0000320193-21-000009,AAPL,2021-01-27,23.91360607045109,11.4,Fold_2020_H2,-0.034985371221745686,-0.04358567007328992,-0.057158757834439404,-0.07703021132991363,-0.045528075646648763,-0.08738030208890696,True,0,100
0001193125-21-032394,AAPL,2021-02-01,34.65638907829167,14.2,Fold_2020_H2,0.006336656639319249,-0.00780337122433705,0.02217502323787762,-0.01578032348459746,-0.005598495090833872,-0.048311587629089915,False,0,-150
0001193125-21-054710,AAPL,2021-02-23,20.11572991239347,0.9,Fold_2020_H2,-0.004052096210461053,-0.015071587040853969,-0.0058796097744467125,-0.003402495932247495,-0.03789912366604548,-0.03704751823288044,False,0,0
0000320193-21-000056,AAPL,2021-03-27,18.11428555923974,23.8,Fold_2020_H2,-0.01227450669897211,-0.009621744174487367,0.03970657954315133,0.013580902983733278,0.10742224389512373,0.06426677052233049,False,0,-150
0000320193-21-000055,AAPL,2021-04-28,24.115088967627564,12.6,Fold_2020_H2,-0.0007488287602785104,-0.007121693496942702,-0.041024205405898614,-0.03707129927746547,-0.07936423793215834,-0.050639115345539706,True,0,100
0000320193-21-000065,AAPL,2021-06-26,18.135073102695017,23.8,Fold_2020_H2,0.011499953410712936,0.010961859074615506,0.0537170418506402,0.04094417760913629,0.08057533069981054,0.06157988641829375,False,0,-150
0000320193-21-000063,AAPL,2021-07-27,9.88462398997864,11.7,Fold_2021_H1,-0.012196064085652698,-0.011786122563540788,0.004019712072125716,-0.0008548262905141331,-0.006485159629657533,-0.014844681821765258,False,0,-150
0001193125-21-237787,AAPL,2021-07-29,19.52001285313758,14.2,Fold_2021_H1,0.001510805983689438,0.006367275592389394,0.009750062498335526,0.00723109320381572,0.023847088264831433,0.013725733279737761,False,0,-150
0000320193-21-000105,AAPL,2021-09-25,9.617952183552314,30.9,Fold_2021_H1,-0.023801065452231738,-0.0036493464443480977,-0.04285592589723975,-0.011227746082823627,-0.01761000830279718,0.00035022205146374025,False,0,-150
0000320193-21-000104,AAPL,2021-10-28,11.185189175044265,10.8,Fold_2021_H1,-0.01815552797899523,-0.0201846598849311,-0.010552742628126263,-0.02929528128582637,-0.029391179422008577,-0.04128242219024604,True,0,100
0001193125-21-328151,AAPL,2021-11-09,33.72907158041959,12.5,Fold_2021_H1,-0.019163480973314623,-0.011118601940553788,0.0012599050144322973,-0.0028052398234537303,0.07028698330452664,0.06855376375968986,False,0,-150
