accession_no,report_date,form,expected,downloaded,url
0000320193-24-000006,20231230,10-Q,True,True,
0000320193-23-000106,20230930,10-K,True,True,
0000320193-23-000104,20231102,8-K,True,True,
0000320193-23-000077,20230701,10-Q,True,True,
0000320193-23-000075,20230803,8-K,True,True,
0001140361-23-023909,20230508,8-K,True,True,
0000320193-23-000064,20230401,10-Q,True,True,
0000320193-23-000063,20230504,8-K,True,True,
0001140361-23-011192,20230310,8-K,True,True,
0000320193-23-000006,20221231,10-Q,True,True,
0000320193-23-000005,20230202,8-K,True,True,
0001193125-22-278435,20221106,8-K,True,True,
0000320193-22-000108,20220924,10-K,True,True,
0000320193-22-000107,20221027,8-K,True,True,
0001193125-22-225365,20220817,8-K,True,True,
0001193125-22-214914,20220801,8-K,True,True,
0000320193-22-000070,20220625,10-Q,True,True,
0000320193-22-000069,20220728,8-K,True,True,
0000320193-22-000059,20220326,10-Q,True,True,
0000320193-22-000058,20220428,8-K,True,True,
0001193125-22-066169,20220304,8-K,True,True,
0000320193-22-000007,20211225,10-Q,True,True,
0000320193-22-000006,20220127,8-K,True,True,
0001193125-21-328151,20211109,8-K,True,True,
0000320193-21-000105,20210925,10-K,True,True,
0000320193-21-000104,20211028,8-K,True,True,
0001193125-21-237787,20210729,8-K,True,True,
0000320193-21-000065,20210626,10-Q,True,True,
0000320193-21-000063,20210727,8-K,True,True,
0000320193-21-000056,20210327,10-Q,True,True,
0000320193-21-000055,20210428,8-K,True,True,
0001193125-21-054710,20210223,8-K,True,True,
0001193125-21-032394,20210201,8-K,True,True,
0000320193-21-000010,20201226,10-Q,True,True,
0000320193-21-000009,20210127,8-K,True,True,
0001193125-21-001982,20201229,8-K,True,True,
0000320193-20-000096,20200926,10-K,True,True,
0000320193-20-000094,20201029,8-K,True,True,
0001193125-20-225672,20200813,8-K,True,True,
0001193125-20-213158,20200803,8-K,True,True,
0000320193-20-000062,20200627,10-Q,True,True,
0000320193-20-000060,20200730,8-K,True,True,
0001193125-20-139112,20200504,8-K,True,True,
0000320193-20-000052,20200328,10-Q,True,True,
0000320193-20-000050,20200430,8-K,True,True,
0001193125-20-050884,20200226,8-K,True,True,
0001193125-20-039203,20200217,8-K,True,True,
0000320193-20-000010,20191228,10-Q,True,True,
0000320193-20-000008,20200128,8-K,True,True,
0001193125-19-292676,20191107,8-K,True,True,
0000320193-19-000119,20190928,10-K,True,True,
0000320193-19-000117,20191030,8-K,True,True,
0000320193-19-000093,20190910,8-K,True,True,
0001193125-19-242975,20190904,8-K,True,True,
0000320193-19-000076,20190629,10-Q,True,True,
0000320193-19-000073,20190730,8-K,True,True,
0000320193-19-000066,20190330,10-Q,True,True,
0000320193-19-000063,20190430,8-K,True,True,
0000320193-19-000032,20190301,8-K,True,True,
0000320193-19-000026,20190205,8-K,True,True,
0000320193-19-000007,20190129,8-K,True,True,
0000320193-19-000002,20190102,8-K,True,True,
